date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,code
2019-05-16,600989,10.8,13.47,13.47,10.8,97305,155628835.0,31.12,56.99,4.89,1.33,600989
2019-05-17,600989,13.46,14.31,14.96,12.18,3138365,5130568704.0,20.64,6.24,0.84,42.79,600989
2019-05-20,600989,13.26,12.63,13.9,12.63,1597513,2479630608.0,8.87,-11.74,-1.68,21.78,600989
2019-05-21,600989,12.02,12.57,13.06,11.39,1754162,2586312352.0,13.22,-0.48,-0.06,23.92,600989
2019-05-22,600989,12.16,11.79,12.33,11.7,1147199,1665634480.0,5.01,-6.21,-0.78,15.64,600989
2019-05-23,600989,11.66,11.12,11.66,11.03,1134015,1571990000.0,5.34,-5.68,-0.67,15.46,600989
2019-05-24,600989,10.88,10.94,11.33,10.87,645534,878951936.0,4.14,-1.62,-0.18,8.8,600989
2019-05-27,600989,11.01,11.08,11.14,10.88,658931,894692768.0,2.38,1.28,0.14,8.99,600989
2019-05-28,600989,11.03,10.67,11.04,10.58,1009759,1351638496.0,4.15,-3.7,-0.41,13.77,600989
2019-05-29,600989,10.57,11.08,11.84,10.49,1278926,1752553344.0,12.65,3.84,0.41,17.44,600989
2019-05-30,600989,11.07,11.15,11.26,10.76,811302,1098296032.0,4.51,0.63,0.07,11.06,600989
2019-05-31,600989,11.06,11.48,11.81,11.01,1279662,1800083664.0,7.17,2.96,0.33,17.45,600989
2019-06-03,600989,11.3,10.82,11.42,10.81,873395,1183577296.0,5.31,-5.75,-0.66,11.91,600989
2019-06-04,600989,10.77,10.19,10.78,10.07,827383,1071327056.0,6.56,-5.82,-0.63,11.28,600989
2019-06-05,600989,10.38,10.05,10.44,10.01,475282,606179840.0,4.22,-1.37,-0.14,6.48,600989
2019-06-06,600989,10.07,9.32,10.14,9.21,746735,902095680.0,9.25,-7.26,-0.73,10.18,600989
2019-06-10,600989,9.34,9.36,9.46,9.22,383634,456098160.0,2.58,0.43,0.04,5.23,600989
2019-06-11,600989,9.4,9.84,9.91,9.33,669462,819572752.0,6.2,5.13,0.48,9.13,600989
2019-06-12,600989,9.75,9.53,9.8,9.52,511810,623438768.0,2.85,-3.15,-0.31,6.98,600989
2019-06-13,600989,9.49,9.59,9.64,9.33,422780,508242352.0,3.25,0.63,0.06,5.76,600989
2019-06-14,600989,9.54,9.28,9.63,9.27,367955,440538512.0,3.75,-3.23,-0.31,5.02,600989
2019-06-17,600989,9.31,9.38,9.51,9.31,222865,265855463.0,2.16,1.08,0.1,3.04,600989
2019-06-18,600989,9.38,9.64,9.84,9.34,573376,699074320.0,5.33,2.77,0.26,7.82,600989
2019-06-19,600989,9.81,9.64,9.9,9.61,501853,614653664.0,3.01,0.0,0.0,6.84,600989
2019-06-20,600989,9.6,9.7,9.76,9.56,471833,576715744.0,2.07,0.62,0.06,6.43,600989
2019-06-21,600989,9.7,9.71,9.84,9.67,496732,609875072.0,1.75,0.1,0.01,6.77,600989
2019-06-24,600989,9.73,9.59,9.76,9.57,330350,402551424.0,1.96,-1.24,-0.12,4.5,600989
2019-06-25,600989,9.6,9.37,9.63,9.28,375987,448389008.0,3.65,-2.29,-0.22,5.13,600989
2019-06-26,600989,9.27,9.37,9.44,9.27,204747,243922958.0,1.81,0.0,0.0,2.79,600989
2019-06-27,600989,9.35,9.34,9.44,9.33,253542,302163776.0,1.17,-0.32,-0.03,3.46,600989
2019-06-28,600989,9.34,9.27,9.38,9.25,242191,286646336.0,1.39,-0.75,-0.07,3.3,600989
2019-07-01,600989,9.42,9.7,9.81,9.38,631737,764757600.0,4.64,4.64,0.43,8.61,600989
2019-07-02,600989,9.71,9.56,9.71,9.52,365001,443014784.0,1.96,-1.44,-0.14,4.98,600989
2019-07-03,600989,9.56,9.4,9.56,9.37,282458,338041232.0,1.99,-1.67,-0.16,3.85,600989
2019-07-04,600989,9.39,9.43,9.48,9.38,218098,260794182.0,1.06,0.32,0.03,2.97,600989
2019-07-05,600989,9.43,9.6,9.64,9.39,365505,442078464.0,2.65,1.8,0.17,4.98,600989
2019-07-08,600989,9.59,9.29,9.59,9.27,332369,395595520.0,3.33,-3.23,-0.31,4.53,600989
2019-07-09,600989,9.3,9.35,9.39,9.24,212970,252219098.0,1.61,0.65,0.06,2.9,600989
2019-07-10,600989,9.34,9.17,9.36,9.16,218679,257875877.0,2.14,-1.93,-0.18,2.98,600989
2019-07-11,600989,9.24,9.0,9.28,8.96,293256,341709056.0,3.49,-1.85,-0.17,4.0,600989
2019-07-12,600989,8.95,9.13,9.31,8.92,290141,337793760.0,4.33,1.44,0.13,3.96,600989
2019-07-15,600989,9.06,9.07,9.13,8.87,244099,281850992.0,2.85,-0.66,-0.06,3.33,600989
2019-07-16,600989,9.01,9.11,9.2,9.01,178834,208463662.0,2.09,0.44,0.04,2.44,600989
2019-07-17,600989,9.11,9.07,9.16,9.05,152215,177096090.0,1.21,-0.44,-0.04,2.08,600989
2019-07-18,600989,9.14,9.29,9.45,9.14,554676,657434656.0,3.42,2.43,0.22,7.56,600989
2019-07-19,600989,9.24,9.19,9.34,9.18,287755,339453840.0,1.72,-1.08,-0.1,3.92,600989
2019-07-22,600989,9.19,8.67,9.21,8.62,375758,424920608.0,6.42,-5.66,-0.52,5.12,600989
2019-07-23,600989,8.72,8.73,8.76,8.65,167704,188426411.0,1.27,0.69,0.06,2.29,600989
2019-07-24,600989,8.74,8.75,8.84,8.7,229727,259942251.0,1.6,0.23,0.02,3.13,600989
2019-07-25,600989,8.74,8.7,8.75,8.67,199436,224126258.0,0.91,-0.57,-0.05,2.72,600989
