名称,日期,开盘,收盘,最高,最低,成交量
美登科技,2022-12-28,17.69,18.5,18.74,16.99,20850
美登科技,2022-12-29,17.21,16.19,17.27,16.18,5359
美登科技,2022-12-30,16.04,15.7,16.04,15.53,2262
美登科技,2023-01-03,15.6,16.17,16.39,15.5,1911
美登科技,2023-01-04,16.01,16.16,16.39,15.96,948
美登科技,2023-01-05,16.16,15.96,16.23,15.91,821
美登科技,2023-01-06,15.92,15.83,15.96,15.8,741
美登科技,2023-01-09,15.75,15.8,15.85,15.7,499
美登科技,2023-01-10,15.68,15.66,15.7,15.63,581
美登科技,2023-01-11,15.66,15.7,15.87,15.66,571
美登科技,2023-01-12,15.8,15.68,15.8,15.6,251
美登科技,2023-01-13,15.52,15.7,15.88,15.52,247
美登科技,2023-01-16,15.6,16.03,16.1,15.6,567
美登科技,2023-01-17,16.01,16.03,16.04,15.92,286
美登科技,2023-01-18,15.72,16.11,16.2,15.72,348
美登科技,2023-01-19,16.11,15.97,16.15,15.75,630
美登科技,2023-01-20,15.91,16.21,16.21,15.91,665
美登科技,2023-01-30,16.28,16.3,16.36,16.24,683
美登科技,2023-01-31,16.27,17.17,17.33,16.25,2976
美登科技,2023-02-01,17.94,17.2,17.94,16.7,2686
美登科技,2023-02-02,17.46,17.06,17.46,17.03,1099
美登科技,2023-02-03,17.08,17.16,17.16,16.72,935
美登科技,2023-02-06,17.15,16.97,17.25,16.85,636
美登科技,2023-02-07,17.14,16.99,17.25,16.88,799
美登科技,2023-02-08,16.92,16.87,17.0,16.81,592
美登科技,2023-02-09,16.72,17.03,17.08,16.72,377
美登科技,2023-02-10,17.02,17.03,17.1,16.88,237
美登科技,2023-02-13,17.03,17.02,17.11,16.9,312
美登科技,2023-02-14,16.94,16.99,17.1,16.9,482
美登科技,2023-02-15,17.0,16.98,17.06,16.85,321
美登科技,2023-02-16,16.82,16.83,17.1,16.82,467
美登科技,2023-02-17,16.83,16.66,16.83,16.4,882
美登科技,2023-02-20,16.59,16.69,16.96,16.46,337
美登科技,2023-02-21,16.69,16.62,16.88,16.5,797
美登科技,2023-02-22,16.5,16.44,16.59,16.41,432
美登科技,2023-02-23,16.43,16.46,16.54,16.43,230
美登科技,2023-02-24,16.41,16.4,16.57,16.36,263
美登科技,2023-02-27,16.5,16.39,16.51,16.38,69
美登科技,2023-02-28,16.37,16.32,16.5,16.31,312
美登科技,2023-03-01,16.3,16.4,16.44,16.3,315
美登科技,2023-03-02,16.41,16.34,16.41,16.33,333
美登科技,2023-03-03,16.32,16.22,16.32,16.04,194
美登科技,2023-03-06,16.2,16.18,16.23,16.15,374
美登科技,2023-03-07,16.28,16.13,16.28,16.12,326
美登科技,2023-03-08,16.35,16.11,16.35,16.1,154
美登科技,2023-03-09,16.06,16.07,16.11,16.06,204
美登科技,2023-03-10,16.02,16.05,16.22,16.02,155
美登科技,2023-03-13,16.01,15.91,16.1,15.9,402
美登科技,2023-03-14,15.91,15.61,15.93,15.6,495
美登科技,2023-03-15,15.63,15.69,15.99,15.63,182
美登科技,2023-03-16,15.61,15.62,15.74,15.55,360
美登科技,2023-03-17,15.63,15.81,15.84,15.63,494
美登科技,2023-03-20,15.84,15.79,15.84,15.75,199
美登科技,2023-03-21,15.68,16.32,16.58,15.68,1010
美登科技,2023-03-22,16.24,16.1,16.31,16.0,580
美登科技,2023-03-23,15.89,15.94,16.19,15.81,378
美登科技,2023-03-24,15.9,16.65,16.72,15.77,1500
美登科技,2023-03-27,16.6,16.57,16.96,16.4,767
美登科技,2023-03-28,16.41,16.25,16.57,16.0,1111
美登科技,2023-03-29,16.32,16.0,16.8,15.7,1824
美登科技,2023-03-30,15.97,15.8,16.16,15.71,446
美登科技,2023-03-31,15.73,15.84,15.95,15.73,506
美登科技,2023-04-03,15.73,16.04,16.07,15.72,574
美登科技,2023-04-04,16.02,16.06,16.3,15.82,661
美登科技,2023-04-06,16.0,15.95,16.0,15.85,142
美登科技,2023-04-07,15.9,16.04,16.04,15.85,163
美登科技,2023-04-10,16.21,15.99,16.21,15.83,325
美登科技,2023-04-11,15.83,15.91,16.0,15.82,313
美登科技,2023-04-12,15.98,15.96,16.0,15.81,274
美登科技,2023-04-13,15.88,15.95,15.97,15.82,329
美登科技,2023-04-14,15.95,15.95,15.95,15.82,258
美登科技,2023-04-17,15.95,15.94,15.95,15.83,348
美登科技,2023-04-18,16.01,15.92,16.01,15.9,234
美登科技,2023-04-19,15.83,16.04,16.04,15.83,575
美登科技,2023-04-20,16.5,15.89,16.5,15.8,567
美登科技,2023-04-21,15.89,15.68,15.89,15.67,466
美登科技,2023-04-24,15.68,15.72,15.82,15.61,156
美登科技,2023-04-25,15.73,15.7,15.73,15.49,357
美登科技,2023-04-26,15.57,15.86,15.91,15.57,341
美登科技,2023-04-27,15.9,15.65,15.99,15.62,382
美登科技,2023-04-28,15.59,15.69,15.77,15.51,190
美登科技,2023-05-04,15.96,15.64,15.96,15.01,226
美登科技,2023-05-05,15.58,16.59,16.9,15.58,2088
美登科技,2023-05-08,16.54,16.95,17.0,16.38,2219
美登科技,2023-05-09,16.95,16.49,17.36,16.32,1968
美登科技,2023-05-10,16.49,16.18,16.69,16.01,825
美登科技,2023-05-11,16.1,17.27,17.34,16.1,3068
美登科技,2023-05-12,17.2,20.78,22.8,17.2,15213
美登科技,2023-05-15,13.95,18.0,21.0,13.95,8676
美登科技,2023-05-16,17.53,17.26,18.0,16.66,5122
美登科技,2023-05-17,17.24,17.01,17.49,16.66,3675
美登科技,2023-05-18,16.55,16.99,16.99,16.3,4657
美登科技,2023-05-19,17.49,18.4,18.82,17.4,5671
美登科技,2023-05-22,18.38,19.59,22.6,18.38,8578
美登科技,2023-05-23,19.21,20.2,20.66,18.48,6586
美登科技,2023-05-24,19.91,19.13,20.2,19.0,3558
美登科技,2023-05-25,18.93,18.95,20.0,18.48,3432
美登科技,2023-05-26,18.83,18.8,19.13,18.08,2590
美登科技,2023-05-29,18.44,18.3,18.95,18.01,2274
美登科技,2023-05-30,18.14,18.06,18.3,17.7,1609
美登科技,2023-05-31,17.89,17.5,18.0,17.5,1851
美登科技,2023-06-01,17.41,17.33,17.92,17.1,2100
美登科技,2023-06-02,17.28,18.7,19.36,17.28,4083
美登科技,2023-06-05,18.72,18.29,18.78,18.0,2046
美登科技,2023-06-06,18.12,18.19,18.59,17.82,1364
美登科技,2023-06-07,18.45,18.3,18.45,17.93,880
美登科技,2023-06-08,17.91,18.11,18.4,17.91,926
美登科技,2023-06-09,18.09,18.15,18.82,18.09,1886
美登科技,2023-06-12,18.0,17.88,18.36,17.51,1278
美登科技,2023-06-13,17.72,17.73,17.88,17.4,1569
美登科技,2023-06-14,17.51,17.34,17.69,17.1,1714
美登科技,2023-06-15,17.34,17.22,17.34,17.12,1104
美登科技,2023-06-16,17.38,17.21,17.38,17.17,587
美登科技,2023-06-19,17.18,17.15,17.24,17.0,1009
美登科技,2023-06-20,17.14,16.72,17.14,16.5,886
美登科技,2023-06-21,16.88,17.03,17.19,16.62,674
美登科技,2023-06-26,16.62,17.04,17.3,16.6,369
美登科技,2023-06-27,16.19,16.87,17.2,16.19,310
美登科技,2023-06-28,17.05,16.8,17.15,16.73,446
美登科技,2023-06-29,16.61,17.04,17.04,16.61,489
