名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
万德股份,2023-09-15,8.55,7.75,8.57,7.74,117013,102626015.4,9.73,-9.14,-0.78,31.98
万德股份,2023-09-18,6.99,7.0,7.04,6.8,42940,31306319.28,3.1,-9.68,-0.75,11.73
万德股份,2023-09-19,6.84,6.87,6.9,6.75,17336,12535939.47,2.14,-1.86,-0.13,4.74
万德股份,2023-09-20,6.83,6.84,6.95,6.8,7713,5606483.73,2.18,-0.44,-0.03,2.11
万德股份,2023-09-21,6.84,6.87,6.92,6.81,7913,5753959.1,1.61,0.44,0.03,2.16
万德股份,2023-09-22,6.81,6.89,6.9,6.81,5876,4264452.15,1.31,0.29,0.02,1.61
万德股份,2023-09-25,6.9,6.85,6.9,6.82,5989,4335743.53,1.16,-0.58,-0.04,1.64
万德股份,2023-09-26,6.85,6.77,6.85,6.76,7433,5348103.83,1.31,-1.17,-0.08,2.03
万德股份,2023-09-27,6.78,6.78,6.82,6.77,2831,2034519.39,0.74,0.15,0.01,0.77
万德股份,2023-09-28,6.79,6.78,6.8,6.77,3233,2321868.14,0.44,0.0,0.0,0.88
万德股份,2023-10-09,6.81,6.8,6.85,6.79,4274,3084183.42,0.88,0.29,0.02,1.17
万德股份,2023-10-10,6.87,6.81,6.89,6.8,1997,1444818.27,1.32,0.15,0.01,0.55
万德股份,2023-10-11,6.8,6.78,6.81,6.78,3877,2787852.12,0.44,-0.44,-0.03,1.06
万德股份,2023-10-12,6.78,6.79,6.84,6.78,1812,1303086.67,0.88,0.15,0.01,0.5
万德股份,2023-10-13,6.79,6.77,6.81,6.75,2447,1755560.53,0.88,-0.29,-0.02,0.67
万德股份,2023-10-16,6.78,6.76,6.8,6.76,2462,1768917.76,0.59,-0.15,-0.01,0.67
万德股份,2023-10-17,6.76,6.77,6.83,6.75,1615,1158020.86,1.18,0.15,0.01,0.44
万德股份,2023-10-18,6.78,6.74,6.8,6.71,1624,1160326.42,1.33,-0.44,-0.03,0.44
万德股份,2023-10-19,6.74,6.71,6.76,6.7,2214,1577059.41,0.89,-0.45,-0.03,0.61
万德股份,2023-10-20,6.71,6.62,6.71,6.61,1666,1173424.67,1.49,-1.34,-0.09,0.46
万德股份,2023-10-23,6.66,6.5,6.66,6.48,1661,1148782.43,2.72,-1.81,-0.12,0.45
万德股份,2023-10-24,6.53,6.48,6.53,6.42,1041,716597.66,1.69,-0.31,-0.02,0.28
万德股份,2023-10-25,6.47,6.5,6.52,6.47,1512,1043494.57,0.77,0.31,0.02,0.41
万德股份,2023-10-26,6.5,6.51,6.51,6.44,807,554545.78,1.08,0.15,0.01,0.22
万德股份,2023-10-27,6.5,6.72,6.73,6.46,4529,3195035.22,4.15,3.23,0.21,1.24
万德股份,2023-10-30,6.59,6.68,6.73,6.59,2101,1489352.24,2.08,-0.6,-0.04,0.57
万德股份,2023-10-31,6.64,6.68,6.68,6.64,1076,759948.12,0.6,0.0,0.0,0.29
万德股份,2023-11-01,6.63,6.62,6.7,6.62,1651,1163434.85,1.2,-0.9,-0.06,0.45
万德股份,2023-11-02,6.62,6.62,6.65,6.61,873,613190.48,0.6,0.0,0.0,0.24
万德股份,2023-11-03,6.6,6.62,6.75,6.6,1851,1303963.99,2.27,0.0,0.0,0.51
万德股份,2023-11-06,6.62,6.69,6.69,6.61,1720,1211652.69,1.21,1.06,0.07,0.47
万德股份,2023-11-07,6.72,6.74,6.74,6.66,1911,1358414.15,1.2,0.75,0.05,0.52
万德股份,2023-11-08,6.7,6.95,6.96,6.7,9765,7093521.38,3.86,3.12,0.21,2.67
万德股份,2023-11-09,6.98,6.9,6.98,6.86,3781,2765978.53,1.73,-0.72,-0.05,1.03
万德股份,2023-11-10,6.88,6.87,6.93,6.82,1779,1295686.13,1.59,-0.43,-0.03,0.49
万德股份,2023-11-13,6.86,6.92,6.94,6.83,1573,1146469.47,1.6,0.73,0.05,0.43
万德股份,2023-11-14,6.92,6.91,6.96,6.88,2603,1902355.2,1.16,-0.14,-0.01,0.71
万德股份,2023-11-15,6.95,6.99,7.03,6.91,5737,4230728.78,1.74,1.16,0.08,1.57
万德股份,2023-11-16,6.95,6.92,7.0,6.9,1726,1264087.66,1.43,-1.0,-0.07,0.47
