名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上实发展,1996-09-25,1.39,1.63,1.65,1.39,399993,441644000.0,59.09,270.45,1.19,74.07
上实发展,1996-09-26,1.61,1.71,1.79,1.59,172398,205227000.0,12.27,4.91,0.08,31.93
上实发展,1996-09-27,1.76,2.03,2.05,1.76,155618,199515000.0,16.96,18.71,0.32,28.82
上实发展,1996-10-03,2.11,2.03,2.18,1.93,142328,193226000.0,12.32,0.0,0.0,26.36
上实发展,1996-10-04,2.03,2.03,2.08,1.93,74635,99253000.0,7.39,0.0,0.0,13.82
上实发展,1996-10-07,2.02,2.0,2.04,1.93,55904,73373000.0,5.42,-1.48,-0.03,10.35
上实发展,1996-10-08,1.99,2.0,2.08,1.98,48074,64504000.0,5.0,0.0,0.0,8.9
上实发展,1996-10-09,1.99,1.91,2.0,1.85,44211,57527000.0,7.5,-4.5,-0.09,8.19
上实发展,1996-10-10,1.91,1.93,1.98,1.89,45223,58650000.0,4.71,1.05,0.02,8.37
上实发展,1996-10-11,1.95,1.83,1.98,1.78,47596,59688000.0,10.36,-5.18,-0.1,8.81
上实发展,1996-10-14,1.79,1.88,1.92,1.75,37118,46303000.0,9.29,2.73,0.05,6.87
上实发展,1996-10-15,1.89,1.92,2.0,1.85,27218,35155000.0,7.98,2.13,0.04,5.04
上实发展,1996-10-16,1.95,1.87,1.98,1.83,27681,35195000.0,7.81,-2.6,-0.05,5.13
上实发展,1996-10-17,1.83,1.91,1.96,1.81,28263,36266000.0,8.02,2.14,0.04,5.23
上实发展,1996-10-18,1.92,1.8,1.95,1.79,21989,27680000.0,8.38,-5.76,-0.11,4.07
上实发展,1996-10-21,1.81,1.83,1.87,1.79,17013,21014000.0,4.44,1.67,0.03,3.15
上实发展,1996-10-22,1.75,1.8,1.85,1.73,17140,21003000.0,6.56,-1.64,-0.03,3.17
上实发展,1996-10-23,1.8,1.99,2.03,1.8,63916,83549000.0,12.78,10.56,0.19,11.84
上实发展,1996-10-24,2.05,2.18,2.28,2.05,106975,152116000.0,11.56,9.55,0.19,19.81
上实发展,1996-10-25,2.25,2.16,2.25,2.11,66086,92906000.0,6.42,-0.92,-0.02,12.24
上实发展,1996-10-28,2.08,2.28,2.3,2.08,62995,90174000.0,10.19,5.56,0.12,11.67
上实发展,1996-10-29,2.32,2.12,2.34,2.01,40834,58386000.0,14.47,-7.02,-0.16,7.56
上实发展,1996-10-30,2.13,1.92,2.15,1.91,46875,62151000.0,11.32,-9.43,-0.2,8.68
上实发展,1996-10-31,1.97,2.0,2.05,1.91,27420,35964000.0,7.29,4.17,0.08,5.08
上实发展,1996-11-01,1.91,1.87,1.96,1.79,27849,35237000.0,8.5,-6.5,-0.13,5.16
上实发展,1996-11-04,1.85,1.9,1.9,1.85,13499,17073000.0,2.67,1.6,0.03,2.5
上实发展,1996-11-05,1.89,1.83,1.9,1.81,12094,15167000.0,4.74,-3.68,-0.07,2.24
上实发展,1996-11-06,1.82,1.8,1.82,1.78,10147,12437000.0,2.19,-1.64,-0.03,1.88
上实发展,1996-11-07,1.82,1.88,1.93,1.81,13672,17258000.0,6.67,4.44,0.08,2.53
上实发展,1996-11-08,1.88,1.88,1.92,1.84,11872,15037000.0,4.26,0.0,0.0,2.2
