日期,开盘,收盘,最高,最低,成交量
2021-12-28,74.8,68.98,81.61,68.62,96413
2021-12-29,68.51,71.41,72.94,68.51,54248
2021-12-30,70.11,72.66,74.26,67.41,47143
2021-12-31,71.92,69.66,72.47,69.06,30597
2022-01-04,69.61,68.47,70.36,68.29,22219
2022-01-05,67.82,67.49,69.15,66.83,15195
2022-01-06,67.01,69.6,70.23,66.58,22654
2022-01-07,69.03,70.0,71.61,68.91,16419
2022-01-10,70.11,71.21,73.89,69.22,16100
2022-01-11,71.19,71.61,73.1,70.54,11334
2022-01-12,71.62,73.77,75.49,71.17,17936
2022-01-13,73.9,70.53,74.36,70.26,14866
2022-01-14,70.09,70.76,71.84,70.09,7332
2022-01-17,70.89,70.81,71.57,70.27,7532
2022-01-18,70.81,68.85,70.91,68.01,11395
2022-01-19,68.86,68.49,69.44,68.21,6199
2022-01-20,68.89,67.21,68.89,66.76,6451
2022-01-21,66.65,65.17,67.07,65.0,9783
2022-01-24,64.92,65.96,66.56,63.99,6474
2022-01-25,65.25,62.61,66.09,61.91,6381
2022-01-26,62.4,62.14,63.21,61.79,3169
2022-01-27,62.45,59.41,62.48,59.41,4346
2022-01-28,59.41,59.65,60.59,57.61,3417
2022-02-07,60.59,59.61,60.88,59.51,2941
2022-02-08,59.77,59.69,60.19,58.79,2329
2022-02-09,59.69,59.91,60.19,59.28,4844
2022-02-10,60.14,58.77,60.14,58.5,3882
2022-02-11,58.81,56.46,59.05,56.06,5465
2022-02-14,56.36,55.86,57.09,55.79,2205
2022-02-15,56.96,56.77,57.18,55.86,2513
2022-02-16,57.3,57.08,57.3,56.75,1614
2022-02-17,56.82,57.07,57.39,56.79,2229
2022-02-18,56.75,57.79,57.79,56.75,1784
2022-02-21,57.79,57.81,58.09,57.14,1908
2022-02-22,57.76,57.06,57.76,56.69,1847
2022-02-23,57.04,57.97,58.11,57.04,2154
2022-02-24,57.8,56.33,58.26,55.97,2709
2022-02-25,56.74,57.21,58.0,56.42,2629
2022-02-28,57.89,58.57,59.96,57.53,6006
2022-03-01,58.11,58.37,58.93,58.05,1922
2022-03-02,58.11,58.19,58.45,57.61,2586
2022-03-03,58.19,59.65,59.79,58.07,5142
2022-03-04,59.91,59.48,59.94,59.02,3076
2022-03-07,59.51,58.31,59.88,58.09,3320
2022-03-08,58.16,55.33,58.6,55.05,4502
2022-03-09,55.33,53.21,56.26,52.11,4779
2022-03-10,54.41,53.7,54.67,53.63,2694
2022-03-11,53.68,54.98,55.26,52.65,4129
2022-03-14,54.97,53.11,55.01,53.11,2116
2022-03-15,53.01,49.34,53.01,49.3,4157
2022-03-16,50.26,50.61,51.19,48.52,3879
2022-03-17,51.09,52.02,52.82,50.95,4285
2022-03-18,51.61,52.2,52.52,51.61,1136
2022-03-21,51.89,52.63,52.71,51.83,2353
2022-03-22,52.41,52.0,52.41,51.64,2026
2022-03-23,52.06,54.41,54.77,51.61,7406
2022-03-24,54.4,53.79,55.41,53.21,5360
2022-03-25,53.49,51.27,53.96,51.11,4031
2022-03-28,51.29,50.45,51.48,49.93,1804
2022-03-29,50.45,49.61,50.94,49.61,1766
2022-03-30,49.94,49.68,50.14,49.03,3486
2022-03-31,49.68,49.68,50.53,49.5,2862
2022-04-01,49.68,49.02,49.68,48.22,3712
2022-04-06,48.61,48.68,49.06,48.47,2282
2022-04-07,48.62,47.92,48.88,47.91,2078
2022-04-08,48.22,46.49,48.22,46.37,2567
2022-04-11,46.41,44.41,46.41,44.41,2743
2022-04-12,44.58,44.73,45.01,43.32,2583
2022-04-13,44.73,46.66,47.97,44.41,6136
2022-04-14,46.49,48.04,48.41,46.49,5207
2022-04-15,47.64,46.31,48.26,45.97,3284
2022-04-18,45.61,45.81,46.47,45.0,3463
2022-04-19,45.62,45.57,46.27,45.29,2568
2022-04-20,45.45,44.99,45.57,44.61,1722
2022-04-21,44.71,43.41,45.81,43.14,3041
2022-04-22,44.04,43.95,44.11,42.96,1415
2022-04-25,43.59,40.83,43.59,40.82,3131
2022-04-26,41.64,39.68,41.64,39.68,1608
2022-04-27,39.66,41.03,41.05,38.72,1868
2022-04-28,42.41,44.77,45.38,42.41,10631
2022-04-29,44.22,50.81,51.49,43.81,11711
2022-05-05,49.16,50.61,51.84,48.61,7398
2022-05-06,49.31,50.87,51.96,48.91,9094
2022-05-09,50.85,51.61,53.25,50.12,5360
2022-05-10,50.61,53.89,54.57,49.63,7365
2022-05-11,53.89,52.22,54.29,52.13,4676
2022-05-12,51.62,53.92,57.21,51.62,10375
2022-05-13,53.48,53.91,55.58,52.71,5090
2022-05-16,53.96,55.11,57.19,52.92,6245
2022-05-17,54.61,54.01,55.6,52.61,6386
2022-05-18,53.61,52.94,54.6,52.63,2645
2022-05-19,52.62,52.42,52.97,51.61,2911
2022-05-20,52.83,53.41,54.09,52.3,3735
2022-05-23,53.41,52.37,53.81,52.05,3032
2022-05-24,52.6,49.54,52.6,49.45,3778
