名称,日期,开盘,收盘,最高,最低,成交量
南极电商,2007-04-18,2.0,1.57,2.0,1.56,135945
南极电商,2007-04-19,1.53,1.41,1.53,1.4,54120
南极电商,2007-04-20,1.44,1.51,1.54,1.43,28276
南极电商,2007-04-23,1.49,1.53,1.53,1.47,27316
南极电商,2007-04-24,1.54,1.51,1.55,1.5,25410
南极电商,2007-04-25,1.5,1.54,1.55,1.49,22204
南极电商,2007-04-26,1.55,1.55,1.57,1.54,15080
南极电商,2007-04-27,1.55,1.5,1.55,1.49,14692
南极电商,2007-04-30,1.48,1.47,1.48,1.46,12328
南极电商,2007-05-08,1.49,1.5,1.51,1.48,12790
南极电商,2007-05-09,1.5,1.47,1.5,1.42,13744
南极电商,2007-05-10,1.46,1.48,1.49,1.44,10480
南极电商,2007-05-11,1.48,1.45,1.48,1.44,7980
南极电商,2007-05-14,1.44,1.45,1.46,1.43,8774
南极电商,2007-05-15,1.45,1.46,1.49,1.44,12071
南极电商,2007-05-16,1.45,1.51,1.51,1.44,15417
南极电商,2007-05-17,1.51,1.53,1.55,1.5,18400
南极电商,2007-05-18,1.53,1.51,1.53,1.48,15554
南极电商,2007-05-21,1.44,1.49,1.5,1.44,13371
南极电商,2007-05-22,1.49,1.49,1.52,1.49,15271
南极电商,2007-05-23,1.5,1.59,1.59,1.5,25865
南极电商,2007-05-24,1.58,1.54,1.58,1.51,18885
南极电商,2007-05-25,1.54,1.57,1.58,1.54,17005
南极电商,2007-05-28,1.57,1.61,1.61,1.57,24108
南极电商,2007-05-29,1.61,1.68,1.72,1.61,32527
南极电商,2007-05-30,1.6,1.49,1.63,1.47,28719
南极电商,2007-05-31,1.49,1.56,1.59,1.44,24298
南极电商,2007-06-01,1.55,1.47,1.57,1.46,18622
南极电商,2007-06-05,1.27,1.33,1.36,1.27,17383
南极电商,2007-06-06,1.35,1.34,1.38,1.28,14126
南极电商,2007-06-07,1.35,1.42,1.45,1.34,11922
南极电商,2007-06-08,1.42,1.4,1.43,1.39,9234
南极电商,2007-06-11,1.42,1.42,1.45,1.39,8293
南极电商,2007-06-12,1.44,1.41,1.44,1.35,12472
南极电商,2007-06-13,1.42,1.5,1.51,1.42,15744
南极电商,2007-06-14,1.51,1.48,1.51,1.44,11220
南极电商,2007-06-15,1.48,1.54,1.55,1.45,14929
南极电商,2007-06-18,1.53,1.59,1.63,1.53,20896
南极电商,2007-06-19,1.58,1.59,1.64,1.56,15463
南极电商,2007-06-20,1.58,1.5,1.59,1.49,13019
南极电商,2007-06-21,1.49,1.56,1.56,1.44,11761
南极电商,2007-06-22,1.55,1.48,1.6,1.43,13826
