日期,开盘,收盘,最高,最低,成交量
2010-11-02,3.53,3.57,3.74,3.53,119106
2010-11-03,3.46,3.44,3.53,3.42,43834
2010-11-04,3.44,3.47,3.5,3.44,23112
2010-11-05,3.48,3.47,3.5,3.45,23119
2010-11-08,3.49,3.52,3.53,3.47,27527
2010-11-09,3.53,3.56,3.57,3.5,29421
2010-11-10,3.53,3.59,3.64,3.53,32828
2010-11-11,3.57,3.51,3.6,3.51,25575
2010-11-12,3.5,3.38,3.5,3.38,25378
2010-11-15,3.42,3.44,3.47,3.39,10131
2010-11-16,3.42,3.42,3.47,3.39,13049
2010-11-17,3.43,3.43,3.48,3.4,10152
2010-11-18,3.44,3.46,3.47,3.43,7529
2010-11-19,3.46,3.46,3.47,3.41,9401
2010-11-22,3.45,3.49,3.53,3.45,14446
2010-11-23,3.48,3.46,3.5,3.43,10310
2010-11-24,3.44,3.53,3.54,3.43,18644
2010-11-25,3.56,3.49,3.57,3.48,17844
2010-11-26,3.47,3.48,3.51,3.46,9162
2010-11-29,3.5,3.46,3.5,3.45,8941
2010-11-30,3.46,3.42,3.49,3.38,10410
2010-12-01,3.42,3.41,3.43,3.39,5501
2010-12-02,3.43,3.44,3.46,3.42,7551
2010-12-03,3.44,3.43,3.45,3.4,7387
2010-12-06,3.43,3.39,3.43,3.39,6505
2010-12-07,3.39,3.41,3.41,3.38,4604
2010-12-08,3.41,3.39,3.41,3.38,4840
2010-12-09,3.39,3.37,3.39,3.37,5135
2010-12-10,3.37,3.38,3.38,3.36,3462
2010-12-13,3.4,3.45,3.46,3.4,12124
2010-12-14,3.46,3.5,3.53,3.44,13121
2010-12-15,3.5,3.61,3.69,3.48,50202
2010-12-16,3.6,3.55,3.64,3.53,15145
2010-12-17,3.54,3.56,3.59,3.52,10711
2010-12-20,3.57,3.56,3.62,3.46,17709
2010-12-21,3.54,3.54,3.57,3.52,9165
2010-12-22,3.53,3.49,3.53,3.48,8321
2010-12-23,3.46,3.5,3.52,3.46,5126
2010-12-24,3.49,3.4,3.49,3.39,7300
2010-12-27,3.41,3.32,3.43,3.31,11501
2010-12-28,3.32,3.31,3.35,3.27,5431
2010-12-29,3.31,3.33,3.34,3.29,2485
2010-12-30,3.34,3.29,3.34,3.27,4746
2010-12-31,3.3,3.32,3.32,3.29,3357
2011-01-04,3.33,3.34,3.38,3.31,8199
2011-01-05,3.34,3.33,3.37,3.32,5549
2011-01-06,3.33,3.24,3.35,3.24,10166
2011-01-07,3.25,3.24,3.26,3.22,7852
2011-01-10,3.24,3.18,3.24,3.17,9795
2011-01-11,3.18,3.12,3.18,3.11,6704
2011-01-12,3.13,3.14,3.14,3.12,3609
2011-01-13,3.16,3.15,3.16,3.14,2887
2011-01-14,3.18,3.24,3.32,3.18,15218
2011-01-17,3.23,3.11,3.23,3.1,4995
2011-01-18,3.11,3.08,3.14,3.03,4057
2011-01-19,3.09,3.11,3.12,3.05,2664
2011-01-20,3.1,3.02,3.1,3.02,3059
2011-01-21,3.02,3.02,3.04,3.0,2154
2011-01-24,3.03,2.93,3.03,2.92,2676
2011-01-25,2.93,2.94,2.96,2.92,2648
2011-01-26,2.94,2.96,2.98,2.93,1151
2011-01-27,2.93,2.97,2.98,2.93,2508
2011-01-28,2.97,2.98,2.99,2.94,2203
2011-01-31,2.98,3.03,3.04,2.96,2384
2011-02-01,3.03,3.0,3.03,3.0,1712
2011-02-09,2.92,2.87,2.97,2.86,18236
2011-02-10,2.89,3.1,3.1,2.85,23508
2011-02-11,3.05,3.05,3.09,3.02,24664
2011-02-14,3.08,3.07,3.09,3.04,16932
2011-02-15,3.06,3.05,3.08,3.04,10057
2011-02-16,3.05,3.1,3.1,3.04,13115
2011-02-17,3.11,3.07,3.11,3.04,9135
2011-02-18,3.06,3.05,3.07,3.03,6284
2011-02-21,3.03,3.08,3.1,3.02,6583
2011-02-22,3.08,2.95,3.09,2.95,11270
2011-02-23,2.95,2.94,2.96,2.91,12036
2011-02-24,2.93,2.96,2.96,2.93,5322
2011-02-25,2.94,2.94,2.96,2.91,6140
2011-02-28,2.94,2.97,2.97,2.93,7485
2011-03-01,2.97,2.99,3.0,2.97,7516
2011-03-02,2.98,2.94,2.98,2.93,6545
2011-03-03,2.94,2.92,2.95,2.91,7989
2011-03-04,2.92,2.93,2.94,2.91,5359
2011-03-07,2.94,2.96,2.96,2.94,6510
2011-03-08,2.96,3.03,3.05,2.95,13850
2011-03-09,3.02,3.0,3.02,2.99,6241
2011-03-10,2.98,2.98,3.01,2.98,4992
2011-03-11,2.98,2.97,3.0,2.96,4954
2011-03-14,2.96,2.97,2.98,2.95,5213
2011-03-15,2.97,2.93,2.99,2.91,7341
2011-03-16,2.93,2.95,2.96,2.92,3436
2011-03-17,2.94,2.96,2.98,2.92,5733
2011-03-18,2.96,2.96,2.98,2.94,4107
2011-03-21,2.96,2.93,2.96,2.93,3630
2011-03-22,2.93,2.92,2.96,2.89,3741
2011-03-23,2.89,2.92,2.93,2.89,5228
2011-03-24,2.92,2.96,2.99,2.91,7731
2011-03-25,2.94,2.95,2.96,2.94,4154
2011-03-28,2.95,2.91,2.95,2.91,6486
2011-03-29,2.9,2.85,2.91,2.85,7396
2011-03-30,2.86,2.87,2.88,2.85,3596
2011-03-31,2.87,2.84,2.88,2.83,3779
2011-04-01,2.84,2.85,2.85,2.84,2674
2011-04-06,2.85,2.85,2.87,2.84,2795
2011-04-07,2.85,2.87,2.88,2.84,2611
2011-04-08,2.87,2.93,2.94,2.86,10364
2011-04-11,2.93,2.93,2.94,2.89,8942
2011-04-12,2.91,2.91,2.95,2.89,5226
2011-04-13,2.91,2.92,2.93,2.9,4368
2011-04-14,2.93,2.91,2.93,2.91,3267
2011-04-15,2.91,2.92,2.93,2.9,2807
2011-04-18,2.95,2.98,3.03,2.94,15125
2011-04-19,2.95,2.93,2.97,2.92,7280
2011-04-20,2.93,2.96,2.99,2.93,6704
2011-04-21,2.98,3.02,3.02,2.95,14587
2011-04-22,3.02,3.0,3.03,2.99,7029
2011-04-25,3.0,2.93,3.03,2.93,6178
2011-04-26,2.93,2.85,2.94,2.84,7358
2011-04-27,2.85,2.85,2.88,2.84,2491
2011-04-28,2.86,2.72,2.87,2.71,4407
2011-04-29,2.72,2.76,2.78,2.72,1943
2011-05-03,2.73,2.76,2.78,2.72,2632
2011-05-04,2.76,2.64,2.76,2.64,5889
2011-05-05,2.65,2.65,2.66,2.62,2503
2011-05-06,2.63,2.67,2.69,2.63,1955
2011-05-09,2.67,2.67,2.69,2.66,1587
2011-05-10,2.67,2.72,2.75,2.66,2643
2011-05-11,2.71,2.69,2.74,2.53,2597
2011-05-13,2.67,2.61,2.67,2.57,5505
2011-05-16,2.62,2.61,2.64,2.59,1791
2011-05-17,2.59,2.62,2.64,2.59,2357
2011-05-18,2.62,2.62,2.63,2.6,1597
2011-05-19,2.62,2.59,2.64,2.59,2155
2011-05-20,2.59,2.56,2.6,2.54,2278
2011-05-23,2.58,2.51,2.61,2.51,5234
2011-05-24,2.49,2.5,2.54,2.45,3949
2011-05-25,2.5,2.5,2.53,2.48,2985
2011-05-26,2.5,2.44,2.53,2.43,4498
2011-05-27,2.4,2.23,2.42,2.23,9693
2011-05-30,2.23,2.14,2.23,2.13,5890
2011-05-31,2.16,2.19,2.2,2.14,4708
2011-06-01,2.19,2.23,2.25,2.18,4578
2011-06-02,2.21,2.23,2.23,2.16,7063
2011-06-03,2.21,2.28,2.28,2.21,6507
2011-06-07,2.31,2.28,2.35,2.27,3814
2011-06-08,2.3,2.25,2.3,2.21,5033
2011-06-09,2.25,2.22,2.27,2.22,3828
2011-06-10,2.23,2.2,2.24,2.15,4161
2011-06-13,2.19,2.2,2.22,2.15,2924
2011-06-14,2.21,2.39,2.43,2.2,28057
2011-06-15,2.33,2.31,2.35,2.29,19309
2011-06-16,2.28,2.18,2.29,2.18,10468
2011-06-17,2.19,2.19,2.24,2.17,6491
2011-06-20,2.18,2.21,2.22,2.17,3310
2011-06-21,2.21,2.27,2.29,2.19,7934
2011-06-22,2.27,2.3,2.32,2.27,12214
2011-06-23,2.29,2.33,2.34,2.24,11613
2011-06-24,2.32,2.39,2.39,2.3,16209
2011-06-27,2.38,2.44,2.44,2.37,17779
2011-06-28,2.43,2.4,2.43,2.39,8876
2011-06-29,2.4,2.35,2.42,2.35,9553
2011-06-30,2.34,2.38,2.41,2.33,7860
2011-07-01,2.4,2.36,2.42,2.36,7511
2011-07-04,2.39,2.42,2.42,2.37,8657
2011-07-05,2.43,2.49,2.53,2.42,16645
2011-07-06,2.49,2.62,2.73,2.44,26679
2011-07-07,2.62,2.71,2.75,2.6,50195
2011-07-08,2.7,2.64,2.71,2.6,15615
2011-07-11,2.64,2.67,2.69,2.58,16713
2011-07-12,2.64,2.69,2.69,2.6,16997
2011-07-13,2.69,2.81,2.85,2.66,41359
2011-07-14,2.82,2.91,2.99,2.78,70748
2011-07-15,2.88,2.86,2.89,2.82,26599
2011-07-18,2.87,2.82,2.89,2.8,12552
2011-07-19,2.8,2.73,2.82,2.73,11577
2011-07-20,2.75,2.79,2.81,2.73,10999
2011-07-21,2.8,2.7,2.8,2.69,7204
2011-07-22,2.7,2.7,2.74,2.68,7103
2011-07-25,2.69,2.57,2.72,2.51,14339
2011-07-26,2.57,2.55,2.62,2.53,6716
2011-07-27,2.55,2.6,2.61,2.54,5997
2011-07-28,2.59,2.57,2.59,2.53,7669
2011-07-29,2.57,2.57,2.6,2.54,6228
2011-08-01,2.58,2.61,2.63,2.56,6809
2011-08-02,2.61,2.6,2.61,2.55,5242
2011-08-03,2.57,2.59,2.62,2.55,10101
2011-08-04,2.59,2.61,2.65,2.59,7981
2011-08-05,2.51,2.51,2.54,2.48,9200
2011-08-08,2.5,2.29,2.5,2.25,10046
2011-08-09,2.23,2.24,2.27,2.12,8978
2011-08-10,2.27,2.28,2.32,2.27,7319
2011-08-11,2.23,2.39,2.39,2.19,12620
2011-08-12,2.39,2.5,2.53,2.39,18254
2011-08-15,2.51,2.54,2.54,2.48,10667
2011-08-16,2.61,2.53,2.61,2.51,10928
2011-08-17,2.53,2.52,2.53,2.47,4465
2011-08-18,2.52,2.5,2.52,2.44,6190
2011-08-19,2.48,2.47,2.48,2.4,4582
2011-08-22,2.48,2.51,2.56,2.47,12609
2011-08-23,2.51,2.58,2.58,2.49,11963
2011-08-24,2.58,2.57,2.71,2.53,16360
2011-08-25,2.57,2.55,2.58,2.5,23086
2011-08-26,2.55,2.52,2.55,2.5,7553
2011-08-29,2.52,2.51,2.52,2.49,11000
2011-08-30,2.53,2.49,2.53,2.49,9404
2011-08-31,2.5,2.48,2.53,2.4,7091
2011-09-01,2.48,2.48,2.51,2.46,12196
2011-09-02,2.48,2.47,2.48,2.42,8480
2011-09-05,2.47,2.39,2.47,2.38,3872
2011-09-06,2.42,2.37,2.42,2.36,2715
2011-09-07,2.39,2.42,2.42,2.37,3715
2011-09-08,2.42,2.4,2.43,2.38,3027
2011-09-09,2.41,2.39,2.41,2.36,3167
2011-09-13,2.37,2.34,2.37,2.31,2367
2011-09-14,2.34,2.34,2.34,2.29,2139
2011-09-15,2.33,2.34,2.34,2.31,2739
2011-09-16,2.34,2.33,2.35,2.31,1978
2011-09-19,2.33,2.3,2.33,2.25,2313
2011-09-20,2.29,2.28,2.3,2.26,954
2011-09-21,2.28,2.34,2.34,2.27,3918
2011-09-22,2.34,2.37,2.51,2.32,26848
2011-09-23,2.29,2.53,2.55,2.28,37754
2011-09-26,2.53,2.55,2.62,2.5,47483
2011-09-27,2.6,2.61,2.63,2.54,47085
2011-09-28,2.7,2.51,2.71,2.51,58573
2011-09-29,2.43,2.24,2.47,2.24,31397
2011-09-30,2.21,2.13,2.21,2.01,35195
2011-10-10,2.13,2.08,2.13,2.06,11535
2011-10-11,2.12,2.05,2.13,2.02,9742
2011-10-12,2.02,2.11,2.11,1.99,13116
2011-10-13,2.11,2.18,2.23,2.1,16513
2011-10-14,2.16,2.15,2.18,2.12,9931
2011-10-17,2.14,2.17,2.17,2.13,8279
2011-10-18,2.14,2.06,2.15,2.05,8863
2011-10-20,2.06,1.97,2.06,1.95,8656
