signal_count,trade_count,win_count,win_rate,avg_return,sum_return,stock_code,name,strategy,hold_period
1,1,0,0.0,-8.16,-8.16,300504,天邑股份,steady,5
1,1,0,0.0,-21.84,-21.84,300504,天邑股份,steady,10
1,1,0,0.0,-26.09,-26.09,300504,天邑股份,steady,20
1,1,1,100.0,8.56,8.56,003003,天元股份,steady,5
1,1,1,100.0,3.52,3.52,003003,天元股份,steady,10
1,1,0,0.0,-12.21,-12.21,003003,天元股份,steady,20
2,2,1,50.0,-0.77,-1.54,002735,王子新材,steady,5
2,2,1,50.0,-2.26,-4.51,002735,王子新材,steady,10
2,2,1,50.0,1.33,2.65,002735,王子新材,steady,20
2,2,1,50.0,32.87,65.75,002719,麦趣尔,steady,5
2,2,1,50.0,20.88,41.76,002719,麦趣尔,steady,10
2,2,1,50.0,-0.44,-0.88,002719,麦趣尔,steady,20
1,1,0,0.0,-3.0,-3.0,002401,中远海科,steady,5
1,1,0,0.0,-10.62,-10.62,002401,中远海科,steady,10
1,1,0,0.0,-6.74,-6.74,002401,中远海科,steady,20
1,1,1,100.0,3.89,3.89,002429,兆驰股份,steady,5
1,1,1,100.0,6.71,6.71,002429,兆驰股份,steady,10
1,1,1,100.0,3.13,3.13,002429,兆驰股份,steady,20
1,1,0,0.0,-20.6,-20.6,002103,广博股份,steady,5
1,1,0,0.0,-10.06,-10.06,002103,广博股份,steady,10
1,1,0,0.0,-10.06,-10.06,002103,广博股份,steady,20
1,1,1,100.0,2.69,2.69,301205,联特科技,steady,5
1,1,0,0.0,-27.22,-27.22,301205,联特科技,steady,10
1,1,0,0.0,-16.02,-16.02,301205,联特科技,steady,20
1,1,0,0.0,-2.17,-2.17,300436,广生堂,steady,5
1,1,0,0.0,-10.03,-10.03,300436,广生堂,steady,10
1,1,0,0.0,-19.26,-19.26,300436,广生堂,steady,20
3,3,1,33.33,-1.47,-4.41,002169,智光电气,steady,5
3,3,1,33.33,-3.11,-9.34,002169,智光电气,steady,10
3,3,1,33.33,-7.4,-22.19,002169,智光电气,steady,20
1,1,0,0.0,-9.18,-9.18,002234,民和股份,steady,5
1,1,0,0.0,-11.95,-11.95,002234,民和股份,steady,10
1,1,0,0.0,-12.82,-12.82,002234,民和股份,steady,20
1,1,1,100.0,6.15,6.15,001283,豪鹏科技,steady,5
1,1,1,100.0,5.12,5.12,001283,豪鹏科技,steady,10
1,1,1,100.0,8.95,8.95,001283,豪鹏科技,steady,20
2,2,1,50.0,1.0,2.01,002084,海鸥住工,steady,5
2,2,1,50.0,5.81,11.61,002084,海鸥住工,steady,10
2,2,0,0.0,-6.87,-13.73,002084,海鸥住工,steady,20
1,1,0,0.0,-5.78,-5.78,000301,东方盛虹,steady,5
1,1,0,0.0,-7.9,-7.9,000301,东方盛虹,steady,10
1,1,0,0.0,-25.21,-25.21,000301,东方盛虹,steady,20
1,1,1,100.0,18.54,18.54,002858,力盛体育,steady,5
1,1,1,100.0,7.99,7.99,002858,力盛体育,steady,10
1,1,1,100.0,11.48,11.48,002858,力盛体育,steady,20
1,1,0,0.0,-17.15,-17.15,300982,苏文电能,steady,5
1,1,0,0.0,-20.06,-20.06,300982,苏文电能,steady,10
1,1,1,100.0,10.4,10.4,300982,苏文电能,steady,20
3,3,0,0.0,-2.64,-7.92,002200,*ST交投,steady,5
3,3,2,66.67,-2.44,-7.32,002200,*ST交投,steady,10
3,3,1,33.33,-2.94,-8.81,002200,*ST交投,steady,20
1,1,0,0.0,-2.23,-2.23,300599,雄塑科技,steady,5
1,1,0,0.0,-2.68,-2.68,300599,雄塑科技,steady,10
1,1,0,0.0,-2.59,-2.59,300599,雄塑科技,steady,20
2,2,2,100.0,3.7,7.4,000909,ST数源,steady,5
2,2,1,50.0,4.02,8.03,000909,ST数源,steady,10
2,2,2,100.0,17.38,34.77,000909,ST数源,steady,20
1,1,1,100.0,3.9,3.9,000680,山推股份,steady,5
1,1,0,0.0,-1.39,-1.39,000680,山推股份,steady,10
1,1,1,100.0,8.54,8.54,000680,山推股份,steady,20
5,5,3,60.0,1.75,8.74,002318,久立特材,steady,5
5,5,4,80.0,5.14,25.68,002318,久立特材,steady,10
5,5,3,60.0,3.96,19.79,002318,久立特材,steady,20
1,1,1,100.0,13.07,13.07,300462,ST华铭,steady,5
1,1,1,100.0,24.07,24.07,300462,ST华铭,steady,10
1,1,0,0.0,-0.74,-0.74,300462,ST华铭,steady,20
1,1,0,0.0,-2.78,-2.78,300373,扬杰科技,steady,5
1,1,0,0.0,-6.38,-6.38,300373,扬杰科技,steady,10
1,1,0,0.0,-6.93,-6.93,300373,扬杰科技,steady,20
1,1,0,0.0,-0.6,-0.6,002919,名臣健康,steady,5
1,1,0,0.0,-5.52,-5.52,002919,名臣健康,steady,10
1,1,0,0.0,-25.74,-25.74,002919,名臣健康,steady,20
2,2,1,50.0,-2.94,-5.89,002226,江南化工,steady,5
2,2,0,0.0,-6.06,-12.13,002226,江南化工,steady,10
2,2,0,0.0,-8.56,-17.12,002226,江南化工,steady,20
4,4,3,75.0,2.88,11.5,000720,新能泰山,steady,5
4,4,2,50.0,4.84,19.38,000720,新能泰山,steady,10
4,4,3,75.0,12.09,48.35,000720,新能泰山,steady,20
1,1,1,100.0,2.15,2.15,002900,哈三联,steady,5
1,1,1,100.0,6.88,6.88,002900,哈三联,steady,10
1,1,1,100.0,2.45,2.45,002900,哈三联,steady,20
1,1,0,0.0,-2.64,-2.64,002946,新乳业,steady,5
1,1,0,0.0,-1.43,-1.43,002946,新乳业,steady,10
1,1,1,100.0,0.5,0.5,002946,新乳业,steady,20
1,1,1,100.0,6.12,6.12,300148,天舟文化,steady,5
1,1,1,100.0,0.64,0.64,300148,天舟文化,steady,10
1,1,0,0.0,-17.22,-17.22,300148,天舟文化,steady,20
1,1,0,0.0,-16.46,-16.46,300422,博世科,steady,5
1,1,0,0.0,-17.37,-17.37,300422,博世科,steady,10
1,1,0,0.0,-28.08,-28.08,300422,博世科,steady,20
2,2,2,100.0,4.67,9.34,300700,岱勒新材,steady,5
2,2,2,100.0,13.51,27.03,300700,岱勒新材,steady,10
2,2,1,50.0,8.58,17.16,300700,岱勒新材,steady,20
3,3,1,33.33,-0.43,-1.29,000818,航锦科技,steady,5
3,3,1,33.33,-5.09,-15.26,000818,航锦科技,steady,10
3,3,1,33.33,-3.41,-10.22,000818,航锦科技,steady,20
1,1,0,0.0,-1.58,-1.58,300786,国林科技,steady,5
1,1,0,0.0,-5.4,-5.4,300786,国林科技,steady,10
1,1,1,100.0,5.86,5.86,300786,国林科技,steady,20
1,1,0,0.0,-8.44,-8.44,002835,同为股份,steady,5
1,1,0,0.0,-9.2,-9.2,002835,同为股份,steady,10
1,1,0,0.0,-8.54,-8.54,002835,同为股份,steady,20
1,1,0,0.0,-1.02,-1.02,300485,赛升药业,steady,5
1,1,0,0.0,-3.57,-3.57,300485,赛升药业,steady,10
1,1,1,100.0,2.64,2.64,300485,赛升药业,steady,20
2,2,1,50.0,-11.56,-23.12,002871,伟隆股份,steady,5
2,2,0,0.0,-16.69,-33.39,002871,伟隆股份,steady,10
2,2,0,0.0,-22.03,-44.06,002871,伟隆股份,steady,20
2,2,2,100.0,4.07,8.14,002428,云南锗业,steady,5
2,2,1,50.0,-0.34,-0.68,002428,云南锗业,steady,10
2,2,0,0.0,-7.11,-14.22,002428,云南锗业,steady,20
1,1,0,0.0,-8.07,-8.07,300371,汇中股份,steady,5
1,1,0,0.0,-2.97,-2.97,300371,汇中股份,steady,10
1,1,0,0.0,-2.16,-2.16,300371,汇中股份,steady,20
3,3,2,66.67,0.51,1.54,300434,金石亚药,steady,5
3,3,0,0.0,-4.99,-14.97,300434,金石亚药,steady,10
3,3,1,33.33,-0.61,-1.83,300434,金石亚药,steady,20
1,1,0,0.0,-14.69,-14.69,002493,荣盛石化,steady,5
1,1,0,0.0,-10.59,-10.59,002493,荣盛石化,steady,10
1,1,0,0.0,-10.73,-10.73,002493,荣盛石化,steady,20
2,2,1,50.0,-3.8,-7.6,002755,奥赛康,steady,5
2,2,2,100.0,2.35,4.69,002755,奥赛康,steady,10
2,2,0,0.0,-1.28,-2.56,002755,奥赛康,steady,20
1,1,1,100.0,7.19,7.19,003029,吉大正元,steady,5
1,1,1,100.0,2.46,2.46,003029,吉大正元,steady,10
1,1,0,0.0,-4.88,-4.88,003029,吉大正元,steady,20
1,1,0,0.0,-2.29,-2.29,003009,中天火箭,steady,5
1,1,0,0.0,-5.69,-5.69,003009,中天火箭,steady,10
1,1,0,0.0,-12.8,-12.8,003009,中天火箭,steady,20
3,3,2,66.67,2.07,6.21,002860,星帅尔,steady,5
