signal_count,trade_count,win_count,win_rate,avg_return,sum_return,strategy,hold_period,strategy_type
5,5,3,60.0,-0.79,-3.93,macd_red,5,six_veins
5,5,1,20.0,-3.57,-17.84,macd_red,10,six_veins
4,4,2,50.0,-1.13,-4.51,macd_red,20,six_veins
9,9,2,22.22,-1.09,-9.77,kdj_red,5,six_veins
9,9,3,33.33,-1.5,-13.48,kdj_red,10,six_veins
9,9,3,33.33,-2.29,-20.6,kdj_red,20,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,5,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,10,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,20,six_veins
9,9,2,22.22,-1.09,-9.77,lwr_red,5,six_veins
9,9,3,33.33,-1.5,-13.48,lwr_red,10,six_veins
9,9,3,33.33,-2.29,-20.6,lwr_red,20,six_veins
10,10,3,30.0,-0.69,-6.94,bbi_red,5,six_veins
10,10,4,40.0,-1.7,-17.02,bbi_red,10,six_veins
9,9,2,22.22,-2.59,-23.3,bbi_red,20,six_veins
10,10,3,30.0,-1.37,-13.73,mtm_red,5,six_veins
10,10,3,30.0,-1.9,-19.01,mtm_red,10,six_veins
9,9,2,22.22,-1.8,-16.18,mtm_red,20,six_veins
9,9,3,33.33,-1.22,-11.02,four_red_plus,5,six_veins
9,9,2,22.22,-3.09,-27.85,four_red_plus,10,six_veins
8,8,2,25.0,-3.04,-24.34,four_red_plus,20,six_veins
4,4,2,50.0,-0.78,-3.14,macd_red,5,six_veins
4,4,2,50.0,0.63,2.51,macd_red,10,six_veins
3,3,2,66.67,5.96,17.87,macd_red,20,six_veins
5,5,3,60.0,-1.52,-7.58,kdj_red,5,six_veins
5,5,3,60.0,-0.12,-0.61,kdj_red,10,six_veins
4,4,3,75.0,7.22,28.88,kdj_red,20,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,5,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,10,six_veins
0,0,0,0.0,0.0,0.0,rsi_red,20,six_veins
5,5,3,60.0,-1.52,-7.58,lwr_red,5,six_veins
5,5,3,60.0,-0.12,-0.61,lwr_red,10,six_veins
4,4,3,75.0,7.22,28.88,lwr_red,20,six_veins
7,7,4,57.14,-0.49,-3.46,bbi_red,5,six_veins
7,7,5,71.43,2.14,14.96,bbi_red,10,six_veins
7,7,5,71.43,5.17,36.17,bbi_red,20,six_veins
11,11,6,54.55,0.36,3.93,mtm_red,5,six_veins
11,11,8,72.73,2.67,29.33,mtm_red,10,six_veins
10,10,8,80.0,7.02,70.17,mtm_red,20,six_veins
